Word|Translation|Showed|I_know|Learned
Наоборот|On the contrary|5|3|False
Казначейство, казна|2|5|2|False
Так называемый|So called|8|4|True
Качели; перепады настроения|Swings; mood swings|3|0|True
Досрочный|Early, preshedule|7|2|True
Кроме того|Additionally, besides|8|0|False
Более того|Moreover|8|0|False
Особенно|Especially|9|0|False
Скучный|Boring|8|0|False
Рука|Hand, arm|8|2|True
Спина|Back|8|0|False
Позвоночник|Spine|11|0|False
Грудь|Chest, breast|8|3|False
Живот|Abdomen, paunch|8|2|True
Желудок|Stomach|6|4|False
Нога|Leg|4|2|False
Шея|Neck|8|1|False
Ступня|Foot|3|1|False
Ладонь|Palm|8|0|True
Жаловаться|Complain; about|9|0|False
